delta_x,delta_y,T_geom_m2sr
-14,-14,5.243975190769452e-07
-13,-14,1.1893529493929078e-06
-12,-14,2.466044663052652e-06
-11,-14,3.0997775040742777e-06
-10,-14,4.646670274699034e-06
-9,-14,4.927628267862956e-06
-8,-14,7.054417052430511e-06
-7,-14,7.242574423998639e-06
-6,-14,1.0695901359719456e-05
-5,-14,1.113952716502778e-05
-4,-14,1.3485177999761732e-05
-3,-14,1.8128720636596854e-05
-2,-14,1.6475026380443424e-05
-1,-14,1.7957795621259604e-05
0,-14,2.3125024242342017e-05
1,-14,2.0283004004638396e-05
2,-14,1.747347038073756e-05
3,-14,1.6631686046293024e-05
4,-14,1.3823869117841704e-05
5,-14,1.271886783103485e-05
6,-14,9.490730257945511e-06
7,-14,8.227372399541498e-06
8,-14,6.382053102841597e-06
9,-14,3.5349751506158343e-06
10,-14,4.173895646433591e-06
11,-14,2.774824366846853e-06
12,-14,1.6875756524129708e-06
13,-14,8.718633517974805e-07
14,-14,4.27146279703345e-07
-14,-13,1.4180761752833654e-06
-13,-13,2.3513714844096386e-06
-12,-13,3.6148404935009234e-06
-11,-13,6.2422619468600884e-06
-10,-13,6.473399898496193e-06
-9,-13,1.1503629830161781e-05
-8,-13,1.546801343312024e-05
-7,-13,1.9010011761732385e-05
-6,-13,2.2527222665591094e-05
-5,-13,2.834521929074028e-05
-4,-13,3.308225405512955e-05
-3,-13,4.214240612245293e-05
-2,-13,4.319080971894547e-05
-1,-13,5.1002494161791386e-05
0,-13,5.6131189723012835e-05
1,-13,4.885042174427826e-05
2,-13,4.362171249393501e-05
3,-13,4.052463767001497e-05
4,-13,4.041533654148798e-05
5,-13,2.972979032198366e-05
6,-13,2.3726576674055713e-05
7,-13,1.9964115194036548e-05
8,-13,1.4886640353552848e-05
9,-13,1.0334714065287981e-05
10,-13,7.642280427547619e-06
11,-13,5.634181985201663e-06
12,-13,3.4821473196952517e-06
13,-13,2.59265038942855e-06
14,-13,9.850721999029674e-07
-14,-12,1.225855119525265e-06
-13,-12,3.838187526362539e-06
-12,-12,7.607712658410666e-06
-11,-12,1.0101662564104117e-05
-10,-12,1.420601996622196e-05
-9,-12,2.0723785502446797e-05
-8,-12,2.902053794472984e-05
-7,-12,3.26870598330878e-05
-6,-12,4.5351187936069146e-05
-5,-12,5.2989102251663466e-05
-4,-12,6.357491053795657e-05
