delta_x,delta_y,rate_pred_s
-14,-14,7.897734035917704e-06
-13,-14,1.2782806374921155e-05
-12,-14,5.0109204571752934e-05
-11,-14,5.2359836105215415e-05
-10,-14,7.429782471410591e-05
-9,-14,0.00011611216438453311
-8,-14,0.00010037190526619351
-7,-14,0.00021692701016719698
-6,-14,0.00021657884766453574
-5,-14,0.0002296076362984147
-4,-14,0.0003028130232232521
-3,-14,0.00035262260260258163
-2,-14,0.00056875467409164
-1,-14,0.00054834927626792
0,-14,0.0005590438847811131
1,-14,0.0004226119768992708
2,-14,0.0004850113925375133
3,-14,0.0003642134733233757
4,-14,0.0003420082711495509
5,-14,0.0002527676682019785
6,-14,0.00021803613050047903
7,-14,0.0001705001285684661
8,-14,0.0001410505312948242
9,-14,0.00012955499665254414
10,-14,7.973435146180308e-05
11,-14,5.325264595302144e-05
12,-14,2.697153343401458e-05
13,-14,3.938858125206403e-06
14,-14,7.611166517198003e-06
-14,-13,2.0909271262728384e-05
-13,-13,6.413163527521903e-05
-12,-13,7.774719839169615e-05
-11,-13,0.00014666488574100289
-10,-13,0.00015142465057653835
-9,-13,0.0002758557707248282
-8,-13,0.0003350210448033366
-7,-13,0.00041404183877014885
-6,-13,0.0005113138353154246
-5,-13,0.0008261297152996832
-4,-13,0.0007718449036793028
-3,-13,0.0011121547314716152
-2,-13,0.00111633668591489
-1,-13,0.00115062862233061
0,-13,0.0014140920613754438
1,-13,0.001276846442310941
2,-13,0.0010838643655953937
3,-13,0.0009792176338854239
4,-13,0.0007981199400624077
5,-13,0.0009357847330345144
6,-13,0.0004660635694961031
7,-13,0.0004608409564569575
8,-13,0.00037592905834823645
9,-13,0.0002567732677793857
10,-13,0.0002253796212701824
11,-13,0.0001118453585803694
12,-13,5.750339871587648e-05
13,-13,1.3783457618776786e-05
14,-13,3.418926110929242e-05
-14,-12,3.5392688103167744e-05
-13,-12,9.09087070202102e-05
-12,-12,0.00011622149942089738
-11,-12,0.0002490119242759746
-10,-12,0.00032440091939478873
-9,-12,0.0005084063183990662
-8,-12,0.0007653046570746254
-7,-12,0.0009502884252048633
-6,-12,0.0012851784196992442
-5,-12,0.001278960228190918
-4,-12,0.0016404543216687014
-3,-12,0.0017530096648137171
-2,-12,0.0024117241338085264
-1,-12,0.002342728358671829
0,-12,0.0029345211527315516
1,-12,0.002543509382615367
2,-12,0.0023089868311754105
3,-12,0.002228397784899691
4,-12,0.001557009580881562
5,-12,0.0014686361127300147
6,-12,0.0011261850874719162
7,-12,0.0008730514141184781
8,-12,0.0005415407295994801
9,-12,0.0003821490758853167
10,-12,0.00031330451035419503
11,-12,0.0001735413542897016
12,-12,0.00018720485697765716
13,-12,8.527564333269099e-05
14,-12,1.8013753881238762e-05
-14,-11,3.3302429212123465e-05
-13,-11,0.00012164023093434023
-12,-11,0.00018780747453573253
-11,-11,0.0004235897882232428
-10,-11,0.00042379679207365335
-9,-11,0.000827912104721703
-8,-11,0.001333119348953384
-7,-11,0.0013652143868800968
-6,-11,0.0017989265892706522
-5,-11,0.0024590012682796972
-4,-11,0.0031075026749247912
-3,-11,0.0033741724778447186
-2,-11,0.004205088018693275
-1,-11,0.004607271482547239
0,-11,0.005132390641813449
1,-11,0.0044607789675610585
2,-11,0.0045824116035932585
3,-11,0.0037456667426170567
4,-11,0.0030342550675202156
5,-11,0.002702003065289358
6,-11,0.0018261663464657473
7,-11,0.0015187186188607936
8,-11,0.001060554865463371
9,-11,0.000751738689312796
10,-11,0.0005367036250912127
11,-11,0.00032094604052678653
12,-11,0.00025493705615947795
13,-11,8.635800129799383e-05
14,-11,3.3012375561995967e-05
-14,-10,7.855596282306781e-05
-13,-10,0.00023675422827729528
-12,-10,0.0003340363528477936
-11,-10,0.0004695063418917637
-10,-10,0.0009248454884219589
-9,-10,0.0013826514001124483
-8,-10,0.001597611864489752
-7,-10,0.002442624326293899
-6,-10,0.0030946476742871884
-5,-10,0.0041002005277453206
-4,-10,0.004839559337169418
-3,-10,0.006241218101782661
-2,-10,0.0072925454694308285
-1,-10,0.007989823200629556
0,-10,0.009703842678696842
1,-10,0.008630736482902034
2,-10,0.00708353118607271
3,-10,0.00676235079395977
4,-10,0.005046707583039596
5,-10,0.004511387291034554
6,-10,0.0030190957565675927
7,-10,0.002597696763090969
8,-10,0.0016563722780686054
9,-10,0.0012639248392324897
10,-10,0.0009098297780642656
11,-10,0.0005864647633960404
12,-10,0.00034022457905734187
13,-10,0.00021006483446928744
14,-10,6.957985955933539e-05
-14,-9,0.00011036252537675784
-13,-9,0.00022756137329337214
-12,-9,0.00033593284826353276
-11,-9,0.0008611658409616393
-10,-9,0.0014487410873419728
-9,-9,0.002028864960246709
-8,-9,0.0026710260832734393
-7,-9,0.003439725385919006
-6,-9,0.005218107105637658
-5,-9,0.006998181853002613
-4,-9,0.008072420463065418
-3,-9,0.01028176730114433
-2,-9,0.013043250786297403
-1,-9,0.014237417398038693
0,-9,0.016582703309092717
1,-9,0.01496650328317061
2,-9,0.012926410231603333
3,-9,0.010570587663180172
4,-9,0.00907161552569232
5,-9,0.006779210829353325
6,-9,0.004810220813526993
7,-9,0.004006115756095818
8,-9,0.002692928967141068
9,-9,0.0017167494144309972
10,-9,0.00136137897902458
11,-9,0.0007994700025559919
12,-9,0.0004425332734591888
13,-9,0.00025191677433350143
14,-9,8.949022508559995e-05
-14,-8,0.00010984174943267273
-13,-8,0.00037918911802000484
-12,-8,0.0005553375860230601
-11,-8,0.0011003762762531399
-10,-8,0.0016750364201980408
-9,-8,0.0025767282440404783
-8,-8,0.00389895407502984
-7,-8,0.005270765038387729
-6,-8,0.007666260805385505
-5,-8,0.010535819704575134
-4,-8,0.01385033863593215
-3,-8,0.017830029443442582
-2,-8,0.02122711986143487
-1,-8,0.023150441397672153
0,-8,0.02579465462069872
1,-8,0.023080467871394603
2,-8,0.020883952117454183
3,-8,0.017382897983505938
4,-8,0.01397506814542265
5,-8,0.010328786985441495
6,-8,0.008025292415273836
7,-8,0.005646768087664988
8,-8,0.003911077578749629
9,-8,0.0026775246254515193
10,-8,0.001755103420439903
11,-8,0.0011874724422414112
12,-8,0.000654956612325153
13,-8,0.0003292887393871979
14,-8,0.00014068656291684267
-14,-7,0.00018858106364804387
-13,-7,0.0004498741598646797
-12,-7,0.0007790398953963504
-11,-7,0.0014582055999791007
-10,-7,0.0020877264920381184
-9,-7,0.0035918602765003618
-8,-7,0.005745665632283885
-7,-7,0.007901189997267485
-6,-7,0.012183964177653727
-5,-7,0.01568415136374191
-4,-7,0.020859838247279508
-3,-7,0.026142080210067437
-2,-7,0.03197034997557513
-1,-7,0.037557576906793955
0,-7,0.04228495694887027
1,-7,0.037286343637337925
2,-7,0.032988579278539064
3,-7,0.025695614226066497
4,-7,0.020917749366716355
5,-7,0.016137474880041247
6,-7,0.011777011202040805
7,-7,0.007616819116600113
8,-7,0.0051544131682118716
9,-7,0.0036435873393470754
10,-7,0.0026710499807699605
11,-7,0.001270865467252974
12,-7,0.0008745081707416883
13,-7,0.0005555571482525701
14,-7,0.00021995109128677393
-14,-6,0.00019003363812202813
-13,-6,0.0006018759031599748
-12,-6,0.0010419840267699278
-11,-6,0.0020744370133906486
-10,-6,0.003229640027691525
-9,-6,0.004928317535235402
-8,-6,0.00781340215984434
-7,-6,0.012233102902550598
-6,-6,0.0176624849897069
-5,-6,0.02378494583316542
-4,-6,0.031129321746623938
-3,-6,0.04040954180172865
-2,-6,0.05084447587400446
-1,-6,0.05826752182848899
0,-6,0.0664436322748345
1,-6,0.0603806749524033
2,-6,0.04988571422573354
3,-6,0.04232004359718134
4,-6,0.03184025674010222
5,-6,0.023211700087587574
6,-6,0.016194317072915698
7,-6,0.012064794344460056
8,-6,0.007962311634931746
9,-6,0.004667020259387274
10,-6,0.0037282411725697764
11,-6,0.0017530566064483512
12,-6,0.0011556416517402462
13,-6,0.0005921099707633091
14,-6,0.000265945530741271
-14,-5,0.0003236100356500085
-13,-5,0.0007488638284115168
-12,-5,0.0013934268512628262
-11,-5,0.0023780052236869647
-10,-5,0.004111821507371574
-9,-5,0.006903177079214501
-8,-5,0.010392218133552018
-7,-5,0.01657333584909134
-6,-5,0.02249952603465637
-5,-5,0.034127925267343866
-4,-5,0.04674578441393807
-3,-5,0.061951535642430236
-2,-5,0.07767880710921028
