delta_x,delta_y,theta_mean_deg
-14,-14,69.36219584998206
-13,-14,68.69281249322829
-12,-14,67.86725335994171
-11,-14,67.30432683262691
-10,-14,66.39598325551519
-9,-14,65.54002890038686
-8,-14,64.952503800086
-7,-14,64.23312159455651
-6,-14,63.650348726507374
-5,-14,63.18209357119022
-4,-14,62.74958933460513
-3,-14,62.27840587109049
-2,-14,62.009783515612725
-1,-14,61.86068783656546
0,-14,61.70713625993206
1,-14,61.739380851373696
2,-14,61.972289139075315
3,-14,62.23158987063816
4,-14,62.60726779282612
5,-14,63.251696704876395
6,-14,63.702628601187605
7,-14,64.40109989798104
8,-14,65.13030793209681
9,-14,65.81248342035016
10,-14,66.37683109510664
11,-14,67.13558029326434
12,-14,67.78461577956547
13,-14,68.51698102774206
14,-14,68.97380137908758
-14,-13,68.49633750589035
-13,-13,67.8986331499271
-12,-13,66.92551036804778
-11,-13,66.2051708882123
-10,-13,65.26425309925624
-9,-13,64.55515129425025
-8,-13,63.85795835007331
-7,-13,63.049201807896786
-6,-13,62.318887794938036
-5,-13,61.705622428958804
-4,-13,60.94818332829193
-3,-13,60.64659391936675
-2,-13,60.183160299138265
-1,-13,60.105203494824
0,-13,59.96796425564728
1,-13,60.05695885520949
2,-13,60.303062391493064
3,-13,60.54145279992754
4,-13,61.08481374353797
5,-13,61.581137395372394
6,-13,62.377887921352105
7,-13,63.03587814553977
8,-13,63.71858911897756
9,-13,64.60782881437247
10,-13,65.52547102880824
11,-13,66.2424129366859
12,-13,67.03829333940433
13,-13,67.73841121168677
14,-13,68.42086588663112
-14,-12,68.00736171574256
-13,-12,66.98900059882634
-12,-12,66.05617516841507
-11,-12,65.21573568762612
-10,-12,64.27337388113322
-9,-12,63.293579196720096
-8,-12,62.46534855185448
-7,-12,61.59580464721372
-6,-12,60.75037277058372
-5,-12,59.97548350849553
-4,-12,59.24658351738634
-3,-12,58.686530299417946
-2,-12,58.258514082106025
-1,-12,58.00047239136158
0,-12,57.860701143939615
1,-12,57.976850099569475
2,-12,58.14316927494795
3,-12,58.65849442980783
4,-12,59.24883440343051
5,-12,59.972746539160745
6,-12,60.66978322976115
7,-12,61.6122838772201
8,-12,62.45681500670661
9,-12,63.44412850560108
10,-12,64.3075970976815
11,-12,65.30143033997771
12,-12,66.1578945165107
13,-12,67.15816852392926
14,-12,67.7823027317644
-14,-11,67.09804944475304
-13,-11,66.20570882701685
-12,-11,65.22170891553814
-11,-11,64.11638210864959
-10,-11,63.126162677684874
-9,-11,62.07907765929093
-8,-11,61.041511989680686
-7,-11,60.01834369220249
-6,-11,59.025577097777
-5,-11,58.087273990530264
-4,-11,57.26930594651663
-3,-11,56.594379332842415
-2,-11,56.02267472483889
-1,-11,55.70409613351857
0,-11,55.582363278341546
1,-11,55.67506501072835
2,-11,56.0849277937892
3,-11,56.61493054001089
4,-11,57.25469458457915
5,-11,58.06655563955015
6,-11,58.95939708551738
7,-11,60.04375776361442
8,-11,61.13625355181153
9,-11,62.09507978517032
10,-11,63.21029423288452
11,-11,64.2416787963407
12,-11,65.2120373207441
13,-11,66.18410204055381
14,-11,67.30006876729644
-14,-10,66.35553322897938
-13,-10,65.40228601833118
-12,-10,64.31586221908655
-11,-10,63.281643660884754
-10,-10,62.044184432209434
-9,-10,60.76781779377868
-8,-10,59.56772850813084
-7,-10,58.27887941925552
-6,-10,57.14063890819126
-5,-10,55.96058147799639
-4,-10,55.094878385816756
-3,-10,54.15292612100821
-2,-10,53.58596068222627
-1,-10,53.19715471448716
0,-10,52.97431851560693
1,-10,53.14934730699944
2,-10,53.565427361118815
3,-10,54.1921122086777
4,-10,55.05851751805597
5,-10,56.07685965594305
6,-10,57.06498041233221
7,-10,58.24965785566228
8,-10,59.63134061538996
9,-10,60.85175234330705
10,-10,62.02400639168157
11,-10,63.1214105512484
12,-10,64.14569120469646
13,-10,65.42317138226808
14,-10,66.17254841811544
-14,-9,65.73031958850738
-13,-9,64.51262401923341
-12,-9,63.48179776741916
-11,-9,62.14320342805603
-10,-9,60.82892026254633
-9,-9,59.391597368352
-8,-9,57.96579937745609
-7,-9,56.528681439774395
-6,-9,55.18351394227814
-5,-9,53.73472022286144
-4,-9,52.62196317120105
-3,-9,51.543743043759704
-2,-9,50.700805463253964
-1,-9,50.237032280345275
0,-9,50.040999495522804
1,-9,50.2932771298859
2,-9,50.73176383087893
3,-9,51.55781947089921
4,-9,52.57394007908725
5,-9,53.85098403769421
6,-9,55.14462071603266
7,-9,56.548010613068854
8,-9,57.93639750226264
9,-9,59.3683227793044
10,-9,60.73986206550889
11,-9,62.0998990771201
12,-9,63.31818727600098
13,-9,64.67501809149911
14,-9,65.63654940754911
-14,-8,64.96273399414717
-13,-8,63.793178364282866
-12,-8,62.46952989716406
-11,-8,61.06976136242455
-10,-8,59.582265208437555
-9,-8,57.97691232156303
-8,-8,56.41584129216027
-7,-8,54.64700370959593
-6,-8,52.9866990211256
-5,-8,51.356024670006
-4,-8,49.899232875443445
-3,-8,48.5446098444762
-2,-8,47.59322810392667
-1,-8,46.893688041962236
0,-8,46.63611636420418
1,-8,46.91585151041101
2,-8,47.54823434950913
3,-8,48.578428032740874
4,-8,49.89883057791333
5,-8,51.3789367609411
6,-8,52.95311693325441
7,-8,54.67483764488059
8,-8,56.34018849156002
9,-8,58.03222427850344
10,-8,59.601970306428036
11,-8,60.981670905621115
12,-8,62.47263925179887
13,-8,63.73806810950061
14,-8,65.02731132763913
-14,-7,64.26669207588121
-13,-7,62.95794074821575
-12,-7,61.58271270077422
-11,-7,59.99564162910608
-10,-7,58.32812922830041
-9,-7,56.627203971425885
-8,-7,54.65828669315671
-7,-7,52.697851479084285
-6,-7,50.75189665738965
-5,-7,48.74052579974881
-4,-7,46.91760241514926
-3,-7,45.20313513565245
-2,-7,44.03623547921813
-1,-7,43.13053293733638
0,-7,42.88065777823475
1,-7,43.123284608860764
2,-7,43.986704424687574
3,-7,45.24120444351865
4,-7,46.88094853889791
5,-7,48.741829516638404
6,-7,50.693746783899705
7,-7,52.69976057479471
8,-7,54.664279605876224
9,-7,56.587358863046596
10,-7,58.3032874914489
11,-7,60.083176975931224
12,-7,61.48260399486236
13,-7,63.08005140464647
14,-7,64.28396784976451
-14,-6,63.76113998090542
-13,-6,62.353031271528856
-12,-6,60.66645702909853
-11,-6,58.95108183205534
-10,-6,57.14473699574884
-9,-6,55.15269907815774
-8,-6,53.037914225433234
-7,-6,50.71709002963395
-6,-6,48.392154851650695
-5,-6,45.96256037878103
-4,-6,43.67857631826294
-3,-6,41.621068593649035
-2,-6,39.96549786484607
-1,-6,38.89104273822508
0,-6,38.45745242587285
1,-6,38.86394496506408
2,-6,39.94479175413322
3,-6,41.68548642071203
4,-6,43.68694898668133
5,-6,45.990131947310076
6,-6,48.37620928875736
7,-6,50.69776010873299
8,-6,53.01116368058652
9,-6,55.17718431939599
10,-6,57.1767683154738
11,-6,58.97748367954662
12,-6,60.77914383097084
13,-6,62.23101235308422
14,-6,63.613059190259555
-14,-5,63.043173035302736
-13,-5,61.68477782404731
-12,-5,59.98451685288455
-11,-5,58.05926151867308
-10,-5,55.978551235118125
-9,-5,53.7787681810876
