mu_center,counts
0.01,12
0.03,63
0.05,79
0.07,114
0.09,217
0.11,279
0.13,350
0.15000000000000002,463
0.16999999999999998,598
0.19,721
0.21000000000000002,922
0.22999999999999998,1023
0.25,1263
0.27,1437
0.29000000000000004,1727
0.31,2091
0.33,2358
0.35,2741
0.37,3214
0.39,3414
0.41000000000000003,3795
0.43,4348
0.45,4790
0.47,5181
0.49,5686
0.51,5946
0.53,6744
0.55,7276
0.5700000000000001,8119
0.59,8655
0.61,9399
0.63,10108
0.65,11167
0.67,11758
0.6900000000000001,12252
0.71,13106
0.73,14065
0.75,14733
0.77,15636
0.79,16598
0.81,17741
0.8300000000000001,18653
0.85,19925
0.87,20809
0.89,22061
0.91,22925
0.93,25303
0.95,27063
0.97,29489
0.99,29025
