theta_center_deg,counts,dOmega_sr,cos_theta,I_m2_sr_s,I_cm2_sr_s
0.5,220,0.0009569595555746597,0.9999619230641713,63.86209089774316,0.006386209089774316
1.5,670,0.0028705871675736385,0.9996573249755573,64.85603736598296,0.006485603736598296
2.5,1169,0.004783340370913659,0.9990482215818578,67.95075304320227,0.006795075304320227
3.5,1583,0.006694636522438575,0.9981347984218669,65.80550325183773,0.006580550325183773
4.5,1995,0.0086038934228263,0.996917333733128,64.60798997321427,0.006460798997321427
5.5,2501,0.010510529493930871,0.9953961983671789,66.4034460546686,0.006640344605466861
6.5,2907,0.012413963955932687,0.9935718556765875,65.46855718603773,0.006546855718603773
7.5,3228,0.014313617004256452,0.9914448613738104,63.18486569243309,0.0063184865692433095
8.5,3746,0.01620890998618289,0.9890158633619168,64.90949110717978,0.0064909491107179775
9.5,4091,0.018099265577108163,0.9862856015372314,63.65951609707477,0.006365951609707477
10.5,4538,0.019984107956405716,0.9832549075639546,64.15213301155099,0.006415213301155099
11.5,5091,0.02186286298283046,0.9799247046208296,66.0086508904008,0.00660086508904008
12.5,5625,0.023734958369400507,0.9762960071199334,67.42951540963011,0.006742951540963011
13.5,6297,0.025599823857725038,0.9723699203976766,70.26882631108018,0.007026882631108017
14.5,6473,0.027456891391711286,0.9681476403781077,67.64102017910058,0.006764102017910058
15.5,6648,0.029305595290599114,0.963630453208623,65.3924254464656,0.006539242544646559
16.5,6701,0.031145372421272167,0.958819734868193,62.33136311890301,0.006233136311890301
17.5,7141,0.03297566236979265,0.9537169507482269,63.07300213196606,0.006307300213196605
18.5,7430,0.03479590761211295,0.9483236552061993,62.546290855755636,0.006254629085575563
19.5,7911,0.03660555368389996,0.9426414910921784,63.684735859175305,0.00636847358591753
20.5,8025,0.03840404934942882,0.9366721892483976,61.969486212898474,0.0061969486212898476
21.5,8030,0.04019084676949661,0.9304175679820246,59.649661863648475,0.0059649661863648475
22.5,8292,0.04196540166830146,0.9238795325112867,59.40870182488089,0.005940870182488089
23.5,7992,0.043727173499230776,0.917060074385124,55.36098167999085,0.005536098167999085
24.5,8336,0.04547562560951646,0.9099612708765432,55.95689582031477,0.005595689582031477
25.5,8565,0.04721022540370926,0.9025852843498606,55.834231643436105,0.0055834231643436105
26.5,8673,0.048930444505909304,0.8949343616020251,55.01694880349332,0.005501694880349332
27.5,8829,0.05063575892071238,0.8870108331782217,54.60378759246226,0.005460378759246226
28.5,9003,0.05232564919282943,0.8788171126619654,54.38405908303452,0.005438405908303452
29.5,8863,0.05399960056531026,0.8703556959398997,52.383067335786734,0.005238306733578673
30.5,8918,0.05565710313635528,0.8616291604415258,51.656381457549756,0.005165638145754976
31.5,9342,0.05729765201462194,0.8526401643540922,53.11714818500203,0.005311714818500203
32.5,9007,0.05892074747302925,0.8433914458128857,50.34776801540816,0.005034776801540816
33.5,9012,0.06052589510097954,0.8338858220671682,49.59876600156679,0.004959876600156679
34.5,9183,0.06211260595495276,0.8241261886220157,49.83203441813417,0.004983203441813417
35.5,9038,0.06368039670745518,0.8141155183563192,48.42593812737388,0.004842593812737388
36.5,9055,0.06522878979423467,0.8038568606172173,47.96980026860894,0.004796980026860894
37.5,8917,0.06675731355975692,0.7933533402912352,46.76821125319068,0.004676821125319068
38.5,8766,0.0682655024008756,0.7826081568524139,45.57779436978169,0.0045577794369781694
