delta_x,delta_y,counts
-8,-14,4
-7,-14,4
-6,-14,7
-5,-14,1
-4,-14,4
-3,-14,5
-2,-14,10
-1,-14,6
0,-14,12
1,-14,7
2,-14,5
3,-14,8
4,-14,3
5,-14,7
6,-14,2
7,-14,5
8,-14,2
9,-14,2
10,-14,1
-10,-13,2
-9,-13,1
-7,-13,4
-6,-13,3
-5,-13,13
-4,-13,9
-3,-13,12
-2,-13,11
-1,-13,18
0,-13,17
1,-13,9
2,-13,14
3,-13,15
4,-13,8
5,-13,11
6,-13,4
7,-13,6
8,-13,5
9,-13,2
10,-13,2
-13,-12,1
-12,-12,1
-11,-12,1
-10,-12,7
-9,-12,9
-8,-12,13
-7,-12,13
-6,-12,20
-5,-12,24
-4,-12,36
-3,-12,50
-2,-12,45
-1,-12,66
0,-12,67
1,-12,62
2,-12,50
3,-12,46
4,-12,30
5,-12,20
6,-12,25
7,-12,13
8,-12,8
9,-12,7
10,-12,6
11,-12,3
12,-12,1
-12,-11,4
-11,-11,3
-10,-11,8
-9,-11,7
-8,-11,19
-7,-11,12
-6,-11,37
-5,-11,33
-4,-11,60
-3,-11,49
-2,-11,64
-1,-11,76
0,-11,83
1,-11,74
2,-11,73
3,-11,50
4,-11,47
5,-11,25
6,-11,26
7,-11,22
8,-11,14
9,-11,12
10,-11,4
11,-11,2
12,-11,5
13,-11,1
-14,-10,2
-13,-10,5
-12,-10,4
-11,-10,10
-10,-10,14
-9,-10,17
-8,-10,35
-7,-10,41
-6,-10,69
-5,-10,85
-4,-10,104
-3,-10,115
-2,-10,171
-1,-10,185
0,-10,205
1,-10,171
2,-10,168
3,-10,134
4,-10,115
5,-10,75
6,-10,67
7,-10,44
8,-10,26
9,-10,22
10,-10,13
11,-10,8
12,-10,3
14,-10,1
-14,-9,1
-13,-9,3
-12,-9,8
-11,-9,12
-10,-9,25
-9,-9,17
-8,-9,49
-7,-9,49
-6,-9,93
-5,-9,107
-4,-9,137
-3,-9,153
-2,-9,219
-1,-9,227
0,-9,237
1,-9,228
2,-9,205
3,-9,147
4,-9,152
5,-9,98
6,-9,73
7,-9,44
8,-9,42
9,-9,34
10,-9,20
11,-9,6
12,-9,8
13,-9,3
14,-9,4
-14,-8,1
-13,-8,1
-12,-8,15
-11,-8,15
-10,-8,24
-9,-8,41
-8,-8,90
-7,-8,114
-6,-8,170
-5,-8,206
-4,-8,267
-3,-8,334
-2,-8,384
-1,-8,447
0,-8,530
1,-8,487
2,-8,433
3,-8,363
4,-8,305
5,-8,207
6,-8,186
7,-8,118
8,-8,94
9,-8,39
10,-8,29
11,-8,15
12,-8,18
13,-8,2
14,-8,1
-14,-7,6
-13,-7,8
-12,-7,12
-11,-7,21
-10,-7,29
-9,-7,46
-8,-7,96
-7,-7,119
-6,-7,201
-5,-7,279
-4,-7,415
-3,-7,466
-2,-7,575
-1,-7,714
0,-7,781
1,-7,675
2,-7,605
3,-7,481
4,-7,408
5,-7,275
6,-7,189
7,-7,130
8,-7,100
9,-7,57
10,-7,39
11,-7,30
12,-7,12
13,-7,4
14,-7,3
-14,-6,3
-13,-6,6
-12,-6,26
-11,-6,21
-10,-6,41
-9,-6,72
-8,-6,153
-7,-6,187
-6,-6,365
-5,-6,431
-4,-6,654
-3,-6,885
-2,-6,1168
-1,-6,1297
0,-6,1573
1,-6,1342
2,-6,1167
3,-6,933
4,-6,704
5,-6,468
6,-6,370
7,-6,216
8,-6,124
9,-6,83
10,-6,73
11,-6,27
