delta_x,delta_y,eps_proxy
-14,-14,0.0
-13,-14,0.0
-12,-14,0.0
-11,-14,0.0
-10,-14,0.0
-9,-14,0.0
-8,-14,0.0
-7,-14,0.12981631380617792
-6,-14,0.3091512840333749
-5,-14,0.0
-4,-14,0.0
-3,-14,0.0
-2,-14,0.10690452386595761
-1,-14,0.09638483833967353
0,-14,0.1335497258942595
1,-14,0.04819241916983676
2,-14,0.0
3,-14,0.12132222253060895
4,-14,0.07051631972965516
5,-14,0.16792186223225797
6,-14,0.0
7,-14,0.25963262761235584
8,-14,0.0
9,-14,0.0
10,-14,0.32102423054411605
11,-14,0.0
12,-14,0.0
13,-14,0.0
14,-14,0.0
-14,-13,0.0
-13,-13,0.0
-12,-13,0.0
-11,-13,0.0
-10,-13,0.0
-9,-13,0.0
-8,-13,0.0
-7,-13,0.10224750915053905
-6,-13,0.0
-5,-13,0.16349762375171709
-4,-13,0.1350547521819076
-3,-13,0.13755349400832073
-2,-13,0.0809722616814068
-1,-13,0.10976585404535487
0,-13,0.13535747814701998
1,-13,0.10976585404535487
2,-13,0.1821875887831653
3,-13,0.13755349400832073
4,-13,0.05402190087276305
5,-13,0.1961971485020605
6,-13,0.04044074084353627
7,-13,0.1533712637258086
8,-13,0.06683779453156254
9,-13,0.18097193402642897
10,-13,0.12948477211438006
11,-13,0.0
12,-13,0.0
13,-13,0.0
14,-13,0.0
-14,-12,0.0
-13,-12,0.0
-12,-12,0.0
-11,-12,0.0
-10,-12,0.0
-9,-12,0.1451278193105222
-8,-12,0.07125573557666938
-7,-12,0.08089717266383584
-6,-12,0.14584756351190123
-5,-12,0.10151810861026493
-4,-12,0.08484978903016514
-3,-12,0.1402495571263444
-2,-12,0.17001855341249636
-1,-12,0.13300890713538888
0,-12,0.21186159713687955
1,-12,0.18621246998954444
2,-12,0.1900207361669077
3,-12,0.12856209403248237
4,-12,0.15555794655530275
5,-12,0.16919684768377488
6,-12,0.12501219729591534
7,-12,0.10786289688511445
8,-12,0.0
9,-12,0.09675187954034814
10,-12,0.13729536246990476
11,-12,0.0
12,-12,0.0
13,-12,0.0
14,-12,0.0
-14,-11,0.0
-13,-11,0.0
-12,-11,0.0
-11,-11,0.06326380863371209
-10,-11,0.12594139667419327
-9,-11,0.11799939094935387
-8,-11,0.0848915585143419
-7,-11,0.06403008152645699
-6,-11,0.13644949799605444
-5,-11,0.12292525769127544
-4,-11,0.19045326654693387
-3,-11,0.15268209133266183
-2,-11,0.16230984332054546
-1,-11,0.20535638845228552
0,-11,0.1928068138129184
1,-11,0.20535638845228552
2,-11,0.1677201714312303
3,-11,0.12723507611055154
4,-11,0.13712635191379238
5,-11,0.0851021014785753
6,-11,0.08683149872476191
7,-11,0.12806016305291398
8,-11,0.12733733777151285
9,-11,0.11799939094935387
10,-11,0.04198046555806442
11,-11,0.0
12,-11,0.0
13,-11,0.19201391777096785
14,-11,0.0
-14,-10,0.32102423054411605
-13,-10,0.12948477211438006
-12,-10,0.0
-11,-10,0.08396093111612885
-10,-10,0.027795176205148913
-9,-10,0.03792045774758094
-8,-10,0.11077981845515106
-7,-10,0.0990120019310225
-6,-10,0.22790879175151613
-5,-10,0.15192201334803057
-4,-10,0.1626974335145488
-3,-10,0.11663667065194493
-2,-10,0.16818330383205254
-1,-10,0.21146419927837007
0,-10,0.23677088723188933
1,-10,0.16477729813898967
2,-10,0.15883978695249407
3,-10,0.156730526188551
4,-10,0.17588911731302573
5,-10,0.10690808346713263
6,-10,0.08822275809736108
7,-10,0.12871560251032926
8,-10,0.0830848638413633
9,-10,0.07584091549516188
10,-10,0.027795176205148913
11,-10,0.04198046555806442
12,-10,0.06864768123495238
13,-10,0.0
14,-10,0.0
-14,-9,0.0
-13,-9,0.27145790103964346
-12,-9,0.04837593977017407
-11,-9,0.11799939094935387
-10,-9,0.09480114436895236
-9,-9,0.0792733769065136
-8,-9,0.15961068856246666
-7,-9,0.12723507611055154
-6,-9,0.1681204037033304
-5,-9,0.14642005380477097
-4,-9,0.18729283956409526
-3,-9,0.15162087958305345
-2,-9,0.1996024438907967
-1,-9,0.19910814799440232
0,-9,0.19049813121632755
1,-9,0.19910814799440232
2,-9,0.19220976078373017
3,-9,0.1823845363100498
4,-9,0.1791496726265259
5,-9,0.14990624556202742
6,-9,0.09996348328306132
7,-9,0.08906455327738608
8,-9,0.1152743861840037
9,-9,0.198183442266284
10,-9,0.05688068662137141
11,-9,0.08849954321201539
12,-9,0.04837593977017407
13,-9,0.09048596701321449
14,-9,0.23177477383993192
-14,-8,0.0
-13,-8,0.06683779453156254
-12,-8,0.17813933894167344
-11,-8,0.04244577925717095
-10,-8,0.05538990922757553
-9,-8,0.10640712570831093
-8,-8,0.13881455166952117
-7,-8,0.17796123997799518
-6,-8,0.1679226150580775
-5,-8,0.20422210054229645
-4,-8,0.1808427231976224
-3,-8,0.18930264761899054
-2,-8,0.17181055376007678
-1,-8,0.2233304759994364
0,-8,0.23999771904914532
1,-8,0.2203659121587359
2,-8,0.2111136216136891
3,-8,0.19463511656600435
4,-8,0.20428529842694385
5,-8,0.1509467699660452
6,-8,0.17092123318411462
7,-8,0.16968397300227447
8,-8,0.13881455166952117
9,-8,0.10640712570831093
10,-8,0.11077981845515106
11,-8,0.10611444814292738
12,-8,0.24939507451834284
13,-8,0.06683779453156254
14,-8,0.0
-14,-7,0.12981631380617792
-13,-7,0.15337126372580875
-12,-7,0.08089717266383584
-11,-7,0.14406768343452825
-10,-7,0.08911080173792026
-9,-7,0.1399585837216067
-8,-7,0.12415900463581059
-7,-7,0.13962539866308513
-6,-7,0.1781944657265832
-5,-7,0.18529630085637788
-4,-7,0.23000074464101258
-3,-7,0.22384368080595668
-2,-7,0.22064600689071037
-1,-7,0.27042405099609135
0,-7,0.28124343203862273
1,-7,0.2600231259577801
2,-7,0.23203418789152122
3,-7,0.23865046124837405
4,-7,0.21459399619616007
5,-7,0.19384843781897995
6,-7,0.17218791070209163
7,-7,0.1624213821182827
8,-7,0.11174310417222952
9,-7,0.1908526141658273
10,-7,0.118814402317227
11,-7,0.192090244579371
12,-7,0.026965724221278613
13,-7,0.0
14,-7,0.12981631380617792
-14,-6,0.10305042801112498
-13,-6,0.16176296337414509
-12,-6,0.16668292972788712
-11,-6,0.03721349945346939
-10,-6,0.07351896508113423
-9,-6,0.14540143022990737
-8,-6,0.14393367004978072
-7,-6,0.13014202553065066
-6,-6,0.21040815487291378
-5,-6,0.2031464535475894
-4,-6,0.22814583355456167
-3,-6,0.26770997937141755
-2,-6,0.2875499529339149
-1,-6,0.2983169151731787
