delta_x,delta_y,eps_proxy
-14,-14,0.0
-13,-14,0.0
-12,-14,0.0
-11,-14,0.0
-10,-14,0.0
-9,-14,0.0
-8,-14,7.264922630810851
-7,-14,6.800971126620895
-6,-14,7.861779851023984
-5,-14,1.0602319196465193
-4,-14,3.455310925226795
-3,-14,3.164823491970337
-2,-14,6.904699024454789
-1,-14,3.781957226573557
0,-14,5.842699523249511
1,-14,3.8903690196021743
2,-14,3.2506920726043225
3,-14,5.5107428339764715
4,-14,2.516674875334979
5,-14,6.517388695752177
6,-14,2.535138411008585
7,-14,7.541493590608151
8,-14,4.057327737357527
9,-14,7.635419805889351
10,-14,3.336088485166172
11,-14,0.0
12,-14,0.0
13,-14,0.0
14,-14,0.0
-14,-13,0.0
-13,-13,0.0
-12,-13,0.0
-11,-13,0.0
-10,-13,4.035292726691335
-9,-13,1.0882800480739516
-8,-13,0.0
-7,-13,2.4751017365512475
-6,-13,1.5300865509544956
-5,-13,5.166108593229029
-4,-13,2.9956782759189373
-3,-13,3.1130165285435862
-2,-13,2.754830610958191
-1,-13,3.808003280104219
0,-13,3.258872187357194
1,-13,1.9888435245564486
2,-13,3.484817594763937
3,-13,4.039608783773068
4,-13,2.1896156379495033
5,-13,4.149025604406691
6,-13,1.9410280963996187
7,-13,3.5329991344401925
8,-13,4.04356496797227
9,-13,2.4281005406277223
10,-13,3.4747881984337203
11,-13,0.0
12,-13,0.0
13,-13,0.0
14,-13,0.0
-14,-12,0.0
-13,-12,3.7051991615422715
-12,-12,1.7999078847617167
-11,-12,1.2880686816470488
-10,-12,6.0782884574202125
-9,-12,5.149017332534974
-8,-12,5.171769214066151
-7,-12,4.46645006137065
-6,-12,4.833223765239099
-5,-12,4.8796527643426435
-4,-12,5.95693100500068
-3,-12,7.017216744431554
-2,-12,5.705184364324229
-1,-12,7.074624356994855
0,-12,6.689556001549381
1,-12,7.064397077741133
2,-12,5.592209704158431
3,-12,6.614714049507693
4,-12,4.929485089819465
5,-12,4.385382270391828
6,-12,6.092820968776471
7,-12,4.4285707967238315
8,-12,3.6472633531028418
9,-12,4.046019167042161
10,-12,4.224931257044068
11,-12,3.717137838618365
12,-12,1.7884528870925194
13,-12,0.0
14,-12,0.0
-14,-11,0.0
-13,-11,0.0
-12,-11,6.23809561217989
-11,-11,2.419265234457423
-10,-11,3.939706382666804
-9,-11,2.2561970984332795
-8,-11,4.624769359230731
-7,-11,2.193208727859932
-6,-11,5.595767927832681
-5,-11,3.815863160780932
-4,-11,5.6193113333815115
-3,-11,3.6251175635713158
-2,-11,3.990838297042836
-1,-11,4.324426694828134
0,-11,4.310892416394595
1,-11,4.370160371004419
2,-11,4.868855224559255
3,-11,3.99800674250848
4,-11,4.36367343394907
5,-11,2.7660436405882196
6,-11,3.5164398984113276
7,-11,3.9042504941097693
8,-11,3.5622713077366046
9,-11,3.82554202456157
10,-11,2.099993516912916
11,-11,1.3805349733427283
12,-11,6.440749256121013
13,-11,2.2488032502403765
14,-11,0.0
-14,-10,7.264096521065129
-13,-10,6.258098217560223
-12,-10,3.760238226708845
-11,-10,4.842581617327029
-10,-10,4.1876419703856955
-9,-10,3.8168614969084005
-8,-10,5.816583466609785
-7,-10,4.91172842319534
-6,-10,5.898219387916061
-5,-10,5.719327220139301
-4,-10,5.601125756209198
-3,-10,4.9962471097140515
-2,-10,6.554696434407477
-1,-10,5.966706020769664
0,-10,5.983583782383551
1,-10,5.7330990829669215
2,-10,6.287284645488649
3,-10,5.897483994449236
4,-10,6.1358344810861665
5,-10,5.129763488999012
6,-10,6.120315162027767
7,-10,5.064954846101685
8,-10,4.37867012364829
9,-10,4.726772222133736
10,-10,4.3091981062609745
11,-10,3.852455152459379
12,-10,2.577386328078405
13,-10,0.0
14,-10,3.9435433885472757
-14,-9,2.552225128621061
-13,-9,3.016101119026504
-12,-9,4.664847260543827
-11,-9,4.609772042240914
-10,-9,6.2493299465114704
-9,-9,2.599392074295373
-8,-9,5.243128843873831
-7,-9,3.55836581023578
-6,-9,4.869444688756007
-5,-9,4.485949378311289
-4,-9,4.484745112539855
-3,-9,3.9663488133365834
-2,-9,5.069586729067193
-1,-9,4.344039073722013
0,-9,4.195261200764488
1,-9,4.395194243771908
2,-9,4.485048805359232
3,-9,3.942295437387119
4,-9,4.546909004680256
5,-9,3.8943136280581943
6,-9,4.082677682015264
7,-9,3.288375672923359
8,-9,4.829838351503869
9,-9,5.294497272214974
10,-9,4.463320038212862
11,-9,2.398765679527634
12,-9,3.8826125431645067
13,-9,3.3001632664957317
14,-9,14.060265288571518
-14,-8,1.9957780707090933
-13,-8,0.957915440298334
-12,-8,6.392814723216427
-11,-8,3.8392563014968157
-10,-8,4.058285417388436
-9,-8,4.397220138084134
-8,-8,6.578444426994929
-7,-8,5.546384583135887
-6,-8,5.834251385823718
-5,-8,5.393955509980039
-4,-8,5.445925610921771
-3,-8,5.6226282980301105
-2,-8,5.138477215968494
-1,-8,5.424522008666164
0,-8,5.732413067860186
1,-8,5.58384436157961
2,-8,6.00440004888901
3,-8,5.940144551520506
4,-8,5.97856258258106
5,-8,5.353656378690317
6,-8,6.47833546852585
7,-8,5.717224052822011
8,-8,6.688886903149384
9,-8,4.250821955081828
10,-8,4.749991581219325
11,-8,3.8168714523384555
12,-8,8.17086799561802
13,-8,1.6959304631069934
14,-8,2.1328196141030396
-14,-7,8.437763477594885
-13,-7,5.13726086305203
-12,-7,4.151512595857354
-11,-7,4.188718757615596
-10,-7,3.3766867642191216
-9,-7,3.602515054418888
-8,-7,4.562322398073067
-7,-7,4.069080766456372
-6,-7,4.85108079232368
-5,-7,4.7945830538632865
-4,-7,5.442456706004906
-3,-7,4.83116908868436
-2,-7,4.874175992033893
-1,-7,5.372611667438239
0,-7,5.209245419571949
1,-7,4.824041970152158
2,-7,5.0342880355667345
3,-7,4.937989821973867
4,-7,5.285204746853915
5,-7,4.684428000405447
6,-7,4.399325166405892
7,-7,4.805389289693915
8,-7,4.911269529305691
9,-7,4.2542299960035805
10,-7,4.389853077337841
11,-7,5.697584042787691
12,-7,3.566728486475402
13,-7,2.4446811289690173
14,-7,3.9326852024373085
-14,-6,3.439680997819951
-13,-6,2.906514688894961
-12,-6,6.199210178421938
-11,-6,3.108522047108604
-10,-6,3.742829342228689
-9,-6,4.070599055164815
-8,-6,5.6682693039524805
-7,-6,4.360600679181748
-6,-6,5.972995923886752
-5,-6,5.05504699767346
-4,-6,5.836737783936424
-3,-6,6.003461328176993
-2,-6,6.426239108212833
-1,-6,6.1125588139843785
0,-6,6.688995698208061
1,-6,6.41074794247573
