theta_x_deg,theta_y_deg,counts
-37.8007014039992,-37.8007014039992,1
-37.8007014039992,-22.33677810236317,1
-36.08248770381742,-29.209632903090295,1
-36.08248770381742,-22.33677810236317,1
-36.08248770381742,-18.900350701999603,1
-36.08248770381742,-15.463923301636038,1
-36.08248770381742,-10.309282201090694,1
-36.08248770381742,-6.872854800727129,1
-36.08248770381742,6.872854800727126,1
-36.08248770381742,18.9003507019996,1
-36.08248770381742,22.336778102363162,3
-36.08248770381742,29.209632903090288,3
-36.08248770381742,32.64606030345386,1
-34.36427400363564,-37.8007014039992,1
-34.36427400363564,-34.36427400363564,1
-34.36427400363564,-27.49141920290851,1
-34.36427400363564,-22.33677810236317,1
-34.36427400363564,-18.900350701999603,1
-34.36427400363564,-15.463923301636038,1
-34.36427400363564,-10.309282201090694,2
-34.36427400363564,-6.872854800727129,1
-34.36427400363564,-3.4364274003635664,6
-34.36427400363564,-3.552713678800501e-15,5
-34.36427400363564,3.436427400363563,3
-34.36427400363564,6.872854800727126,4
-34.36427400363564,10.309282201090689,3
-34.36427400363564,12.02749590127247,5
-34.36427400363564,15.463923301636033,3
-34.36427400363564,18.9003507019996,4
-34.36427400363564,22.336778102363162,1
-34.36427400363564,24.054991802544944,1
-34.36427400363564,27.49141920290851,4
-34.36427400363564,29.209632903090288,1
-34.36427400363564,32.64606030345386,1
-34.36427400363564,36.082487703817414,3
-32.64606030345386,-37.8007014039992,2
-32.64606030345386,-36.08248770381742,1
-32.64606030345386,-34.36427400363564,2
-32.64606030345386,-32.64606030345386,1
-32.64606030345386,-29.209632903090295,1
-32.64606030345386,-27.49141920290851,4
-32.64606030345386,-24.054991802544947,2
-32.64606030345386,-22.33677810236317,2
-32.64606030345386,-18.900350701999603,1
-32.64606030345386,-15.463923301636038,3
-32.64606030345386,-12.027495901272475,4
-32.64606030345386,-10.309282201090694,6
-32.64606030345386,-6.872854800727129,6
-32.64606030345386,-3.4364274003635664,6
-32.64606030345386,-3.552713678800501e-15,2
-32.64606030345386,3.436427400363563,8
-32.64606030345386,6.872854800727126,5
-32.64606030345386,10.309282201090689,4
-32.64606030345386,12.02749590127247,8
-32.64606030345386,15.463923301636033,8
-32.64606030345386,18.9003507019996,9
-32.64606030345386,22.336778102363162,4
-32.64606030345386,24.054991802544944,6
-32.64606030345386,27.49141920290851,3
-32.64606030345386,29.209632903090288,4
-32.64606030345386,32.64606030345386,1
-32.64606030345386,34.364274003635636,4
-32.64606030345386,36.082487703817414,1
-29.209632903090295,-32.64606030345386,1
-29.209632903090295,-29.209632903090295,1
-29.209632903090295,-27.49141920290851,4
-29.209632903090295,-24.054991802544947,1
-29.209632903090295,-22.33677810236317,5
-29.209632903090295,-18.900350701999603,6
-29.209632903090295,-15.463923301636038,3
-29.209632903090295,-12.027495901272475,2
-29.209632903090295,-10.309282201090694,6
-29.209632903090295,-6.872854800727129,4
-29.209632903090295,-3.4364274003635664,8
-29.209632903090295,-3.552713678800501e-15,6
-29.209632903090295,3.436427400363563,5
-29.209632903090295,6.872854800727126,7
-29.209632903090295,10.309282201090689,9
-29.209632903090295,12.02749590127247,15
-29.209632903090295,15.463923301636033,6
-29.209632903090295,18.9003507019996,2
-29.209632903090295,22.336778102363162,7
-29.209632903090295,24.054991802544944,5
-29.209632903090295,27.49141920290851,6
-29.209632903090295,29.209632903090288,6
-29.209632903090295,32.64606030345386,7
-29.209632903090295,34.364274003635636,2
-29.209632903090295,36.082487703817414,2
-27.49141920290851,-34.36427400363564,1
-27.49141920290851,-32.64606030345386,2
-27.49141920290851,-29.209632903090295,2
-27.49141920290851,-27.49141920290851,1
-27.49141920290851,-24.054991802544947,5
-27.49141920290851,-22.33677810236317,5
-27.49141920290851,-18.900350701999603,6
-27.49141920290851,-15.463923301636038,5
-27.49141920290851,-12.027495901272475,8
-27.49141920290851,-10.309282201090694,4
-27.49141920290851,-6.872854800727129,12
-27.49141920290851,-3.4364274003635664,8
-27.49141920290851,-3.552713678800501e-15,9
-27.49141920290851,3.436427400363563,7
-27.49141920290851,6.872854800727126,9
-27.49141920290851,10.309282201090689,7
-27.49141920290851,12.02749590127247,11
-27.49141920290851,15.463923301636033,10
-27.49141920290851,18.9003507019996,8
-27.49141920290851,22.336778102363162,5
-27.49141920290851,24.054991802544944,6
-27.49141920290851,27.49141920290851,8
-27.49141920290851,29.209632903090288,11
-27.49141920290851,32.64606030345386,6
-27.49141920290851,34.364274003635636,2
-27.49141920290851,37.8007014039992,2
-24.054991802544947,-34.36427400363564,4
-24.054991802544947,-32.64606030345386,1
-24.054991802544947,-29.209632903090295,3
-24.054991802544947,-27.49141920290851,4
-24.054991802544947,-24.054991802544947,6
-24.054991802544947,-22.33677810236317,6
-24.054991802544947,-18.900350701999603,9
-24.054991802544947,-15.463923301636038,9
-24.054991802544947,-12.027495901272475,10
-24.054991802544947,-10.309282201090694,10
-24.054991802544947,-6.872854800727129,12
-24.054991802544947,-3.4364274003635664,11
-24.054991802544947,-3.552713678800501e-15,14
-24.054991802544947,3.436427400363563,17
-24.054991802544947,6.872854800727126,13
-24.054991802544947,10.309282201090689,16
