time,counts_per_min,n_obs,temp_roll_med,pres_roll_med
2026-02-27 19:15:00,60.0,60.0,28.869999999999997,898.7375
2026-02-27 19:16:00,123.0,123.0,28.799999999999997,898.7469000000001
2026-02-27 19:17:00,133.0,133.0,28.735,898.7574
2026-02-27 19:18:00,127.0,127.0,28.67,898.76835
2026-02-27 19:19:00,122.0,122.0,28.61,898.7791500000001
2026-02-27 19:20:00,106.0,106.0,28.555,898.7895000000001
2026-02-27 19:21:00,107.0,107.0,28.505000000000003,898.8008500000001
2026-02-27 19:22:00,104.0,104.0,28.46,898.81135
2026-02-27 19:23:00,125.0,125.0,28.42,898.8214499999999
2026-02-27 19:24:00,102.0,102.0,28.38,898.8302
2026-02-27 19:25:00,97.0,97.0,28.345,898.8403000000001
2026-02-27 19:26:00,114.0,114.0,28.314999999999998,898.85085
2026-02-27 19:27:00,114.0,114.0,28.285,898.85975
2026-02-27 19:28:00,113.0,113.0,28.255,898.8679500000001
2026-02-27 19:29:00,113.0,113.0,28.225,898.8768
2026-02-27 19:30:00,120.0,120.0,28.195,898.88635
2026-02-27 19:31:00,134.0,134.0,28.165,898.89525
2026-02-27 19:32:00,114.0,114.0,28.134999999999998,898.9052
2026-02-27 19:33:00,107.0,107.0,28.105,898.9146000000001
2026-02-27 19:34:00,159.0,159.0,28.08,898.92505
2026-02-27 19:35:00,143.0,143.0,28.060000000000002,898.93585
2026-02-27 19:36:00,122.0,122.0,28.035,898.94415
2026-02-27 19:37:00,114.0,114.0,28.009999999999998,898.9548
2026-02-27 19:38:00,114.0,114.0,27.990000000000002,898.9701
2026-02-27 19:39:00,131.0,131.0,27.97,898.9867000000002
2026-02-27 19:40:00,119.0,119.0,27.950000000000003,899.00045
2026-02-27 19:41:00,119.0,119.0,27.93,899.0135
2026-02-27 19:42:00,139.0,139.0,27.915,899.02695
2026-02-27 19:43:00,134.0,134.0,27.905,899.0423499999999
2026-02-27 19:44:00,140.0,140.0,27.89,899.05715
2026-02-27 19:45:00,110.0,110.0,27.875,899.0697
2026-02-27 19:46:00,107.0,107.0,27.865000000000002,899.0823
2026-02-27 19:47:00,104.0,104.0,27.855,899.0937000000001
2026-02-27 19:48:00,139.0,139.0,27.845,899.10635
2026-02-27 19:49:00,132.0,132.0,27.835,899.12
2026-02-27 19:50:00,135.0,135.0,27.825,899.1332
2026-02-27 19:51:00,120.0,120.0,27.810000000000002,899.1462000000001
2026-02-27 19:52:00,139.0,139.0,27.795,899.1600500000001
2026-02-27 19:53:00,119.0,119.0,27.785,899.1773000000001
2026-02-27 19:54:00,122.0,122.0,27.775,899.1945499999999
2026-02-27 19:55:00,117.0,117.0,27.759999999999998,899.2094
2026-02-27 19:56:00,130.0,130.0,27.744999999999997,899.22525
2026-02-27 19:57:00,124.0,124.0,27.735,899.2394999999999
2026-02-27 19:58:00,119.0,119.0,27.725,899.25285
2026-02-27 19:59:00,119.0,119.0,27.715,899.2671
2026-02-27 20:00:00,134.0,134.0,27.705,899.2821
2026-02-27 20:01:00,110.0,110.0,27.695,899.2972
2026-02-27 20:02:00,154.0,154.0,27.685000000000002,899.30915
2026-02-27 20:03:00,97.0,97.0,27.68,899.32115
2026-02-27 20:04:00,123.0,123.0,27.675,899.3342
2026-02-27 20:05:00,122.0,122.0,27.665,899.3453499999999
2026-02-27 20:06:00,125.0,125.0,27.655,899.35445
2026-02-27 20:07:00,131.0,131.0,27.64,899.3635
2026-02-27 20:08:00,128.0,128.0,27.63,899.3746000000001
2026-02-27 20:09:00,124.0,124.0,27.625,899.3817
2026-02-27 20:10:00,110.0,110.0,27.615000000000002,899.3874000000001
2026-02-27 20:11:00,119.0,119.0,27.605,899.39545
2026-02-27 20:12:00,109.0,109.0,27.595,899.40305
2026-02-27 20:13:00,137.0,137.0,27.585,899.4107
2026-02-27 20:14:00,136.0,136.0,27.575,899.4176500000001
2026-02-27 20:15:00,124.0,124.0,27.564999999999998,899.4238
2026-02-27 20:16:00,137.0,137.0,27.555,899.428
2026-02-27 20:17:00,148.0,148.0,27.545,899.43145
2026-02-27 20:18:00,135.0,135.0,27.54,899.43885
2026-02-27 20:19:00,136.0,136.0,27.535,899.44595
2026-02-27 20:20:00,120.0,120.0,27.525,899.45285
2026-02-27 20:21:00,148.0,148.0,27.515,899.4617000000001
2026-02-27 20:22:00,122.0,122.0,27.505000000000003,899.4687000000001
2026-02-27 20:23:00,118.0,118.0,27.5,899.47855
2026-02-27 20:24:00,136.0,136.0,27.494999999999997,899.4864500000001
2026-02-27 20:25:00,127.0,127.0,27.485,899.49405
2026-02-27 20:26:00,135.0,135.0,27.475,899.5008
2026-02-27 20:27:00,137.0,137.0,27.46,899.50395
2026-02-27 20:28:00,118.0,118.0,27.45,899.51175
2026-02-27 20:29:00,126.0,126.0,27.445,899.5188
2026-02-27 20:30:00,120.0,120.0,27.435000000000002,899.52235
2026-02-27 20:31:00,110.0,110.0,27.425,899.5252499999999
2026-02-27 20:32:00,136.0,136.0,27.415,899.5272500000001
2026-02-27 20:33:00,124.0,124.0,27.405,899.5305000000001
2026-02-27 20:34:00,130.0,130.0,27.39,899.5361499999999
2026-02-27 20:35:00,144.0,144.0,27.375,899.54185
2026-02-27 20:36:00,134.0,134.0,27.365000000000002,899.5486
2026-02-27 20:37:00,122.0,122.0,27.355,899.55705
2026-02-27 20:38:00,119.0,119.0,27.345,899.56555
2026-02-27 20:39:00,145.0,145.0,27.34,899.5752500000001
2026-02-27 20:40:00,119.0,119.0,27.335,899.58665
2026-02-27 20:41:00,148.0,148.0,27.325,899.59725
2026-02-27 20:42:00,139.0,139.0,27.314999999999998,899.6076499999999
2026-02-27 20:43:00,136.0,136.0,27.31,899.6191000000001
2026-02-27 20:44:00,150.0,150.0,27.305,899.6309000000001
2026-02-27 20:45:00,147.0,147.0,27.3,899.6408
2026-02-27 20:46:00,146.0,146.0,27.295,899.64915
2026-02-27 20:47:00,129.0,129.0,27.29,899.65945
2026-02-27 20:48:00,124.0,124.0,27.29,899.6704
2026-02-27 20:49:00,140.0,140.0,27.285,899.67965
2026-02-27 20:50:00,129.0,129.0,27.28,899.6872000000001
2026-02-27 20:51:00,131.0,131.0,27.28,899.69495
2026-02-27 20:52:00,145.0,145.0,27.275,899.6995
2026-02-27 20:53:00,140.0,140.0,27.27,899.7029
2026-02-27 20:54:00,167.0,167.0,27.265,899.70775
2026-02-27 20:55:00,137.0,137.0,27.255000000000003,899.7126000000001
2026-02-27 20:56:00,136.0,136.0,27.25,899.7166
2026-02-27 20:57:00,142.0,142.0,27.244999999999997,899.7207500000001
2026-02-27 20:58:00,151.0,151.0,27.24,899.7260000000001
2026-02-27 20:59:00,133.0,133.0,27.235,899.7299499999999
2026-02-27 21:00:00,140.0,140.0,27.225,899.7337
2026-02-27 21:01:00,149.0,149.0,27.22,899.7402
2026-02-27 21:02:00,158.0,158.0,27.215,899.74595
2026-02-27 21:03:00,145.0,145.0,27.205,899.74815
2026-02-27 21:04:00,135.0,135.0,27.195,899.75255
2026-02-27 21:05:00,146.0,146.0,27.185000000000002,899.7596500000001
2026-02-27 21:06:00,139.0,139.0,27.175,899.7643
2026-02-27 21:07:00,139.0,139.0,27.17,899.7674
2026-02-27 21:08:00,143.0,143.0,27.17,899.7734
2026-02-27 21:09:00,148.0,148.0,27.165,899.7792499999999
2026-02-27 21:10:00,139.0,139.0,27.155,899.78575
2026-02-27 21:11:00,136.0,136.0,27.145,899.7905000000001
2026-02-27 21:12:00,135.0,135.0,27.134999999999998,899.7941000000001
2026-02-27 21:13:00,133.0,133.0,27.125,899.7981
2026-02-27 21:14:00,143.0,143.0,27.115000000000002,899.80045
2026-02-27 21:15:00,140.0,140.0,27.105,899.8022
2026-02-27 21:16:00,170.0,170.0,27.095,899.8022
2026-02-27 21:17:00,136.0,136.0,27.085,899.80305
