//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:4096
//Run#:1
//Start_Time_Epoch:1771513975549
//Start_Time_DateTime_UTC:Thu Feb 19 15:12:55 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
79063.336,0,0,2,0x100000800000,23,0x2,-1,1620
79063.336,0,0,2,0x100000800000,44,0x2,-1,1533
385335.864,1,0,3,0x4004004000,14,0x2,-1,1660
385335.864,1,0,3,0x4004004000,26,0x2,-1,2347
385335.864,1,0,3,0x4004004000,38,0x2,-1,1647
518184.968,2,0,3,0x2000001000400,10,0x2,-1,1967
518184.968,2,0,3,0x2000001000400,24,0x2,-1,1593
518184.968,2,0,3,0x2000001000400,49,0x2,-1,2023
772861.840,3,0,1,0x1000000,24,0x2,-1,2395
789549.408,4,0,2,0x1000000000000020,5,0x2,-1,1710
789549.408,4,0,2,0x1000000000000020,60,0x2,-1,1684
988195.976,5,0,3,0x80000000010200,9,0x2,-1,2485
988195.976,5,0,3,0x80000000010200,16,0x2,-1,2257
988195.976,5,0,3,0x80000000010200,55,0x2,-1,1973
1004563.440,6,0,1,0x8000000,27,0x2,-1,2043
1009077.520,7,0,3,0x8000804000000,26,0x2,-1,2359
1009077.520,7,0,3,0x8000804000000,35,0x2,-1,2034
1009077.520,7,0,3,0x8000804000000,51,0x2,-1,1615
1013865.928,8,0,3,0x10040000000004,2,0x2,-1,1819
1013865.928,8,0,3,0x10040000000004,42,0x2,-1,3289
1013865.928,8,0,3,0x10040000000004,52,0x2,-1,4095
1099861.264,9,0,1,0x4,2,0x2,-1,1631
1227703.512,10,0,2,0x40400,10,0x2,-1,2758
1227703.512,10,0,2,0x40400,18,0x2,-1,1587
1400583.288,12,0,1,0x20,5,0x2,-1,2228
1676101.760,13,0,3,0x400040000000004,2,0x2,-1,1683
1676101.760,13,0,3,0x400040000000004,42,0x2,-1,2063
1676101.760,13,0,3,0x400040000000004,58,0x2,-1,1657
1882199.512,14,0,2,0x2001000,12,0x2,-1,2399
1882199.512,14,0,2,0x2001000,25,0x2,-1,1768
2289823.808,16,0,2,0x4000200000000,33,0x2,-1,2061
2289823.808,16,0,2,0x4000200000000,50,0x2,-1,1823
2337530.576,17,0,4,0x1004000208000,15,0x2,-1,2314
2337530.576,17,0,4,0x1004000208000,21,0x2,-1,2311
2337530.576,17,0,4,0x1004000208000,38,0x2,-1,2599
2337530.576,17,0,4,0x1004000208000,48,0x2,-1,1548
2365319.312,18,0,1,0x40000000000,42,0x2,-1,1894
2824907.536,19,0,1,0x800000,23,0x2,-1,1938
2836266.432,20,0,1,0x2000000000000,49,0x2,-1,2262
3158481.832,22,0,2,0x20010,4,0x2,-1,2939
3158481.832,22,0,2,0x20010,17,0x2,-1,2484
3308791.016,23,0,2,0x200400000,22,0x2,-1,1521
3308791.016,23,0,2,0x200400000,33,0x2,-1,2009
3786567.296,24,0,1,0x4,2,0x2,-1,2270
3810580.616,25,0,1,0x2000000,25,0x2,-1,2144
3841751.832,26,0,2,0x2000020000,17,0x2,-1,1955
3841751.832,26,0,2,0x2000020000,37,0x2,-1,3322
4746766.696,28,0,2,0x100080,7,0x2,-1,1876
4746766.696,28,0,2,0x100080,20,0x2,-1,1565
4793052.320,29,0,2,0x8000000800000,23,0x2,-1,1846
4793052.320,29,0,2,0x8000000800000,51,0x2,-1,1536
4806905.920,30,0,1,0x400,10,0x2,-1,1577
4808066.456,31,0,2,0x400000000000008,3,0x2,-1,1806
4808066.456,31,0,2,0x400000000000008,58,0x2,-1,2211
5046631.472,32,0,3,0x800000001000200,9,0x2,-1,1601
5046631.472,32,0,3,0x800000001000200,24,0x2,-1,2318
5046631.472,32,0,3,0x800000001000200,59,0x2,-1,2427
5189183.968,33,0,2,0x2000040000,18,0x2,-1,1838
5189183.968,33,0,2,0x2000040000,37,0x2,-1,2121
5243737.200,34,0,1,0x1000,12,0x2,-1,2588
5243937.552,35,0,1,0x1000,12,0x2,-1,2140
5286677.152,36,0,1,0x200000000,33,0x2,-1,1747
5349751.000,37,0,2,0x202000000,25,0x2,-1,1731
5349751.000,37,0,2,0x202000000,33,0x2,-1,2118
5486122.768,38,0,1,0x100000000,32,0x2,-1,1880
5556774.856,39,0,1,0x800000,23,0x2,-1,1745
5703355.680,40,0,2,0x2002000,13,0x2,-1,1563
5703355.680,40,0,2,0x2002000,25,0x2,-1,2423
5727413.768,41,0,4,0x4000800088000,15,0x2,-1,4095
5727413.768,41,0,4,0x4000800088000,19,0x2,-1,4095
5727413.768,41,0,4,0x4000800088000,35,0x2,-1,4002
5727413.768,41,0,4,0x4000800088000,50,0x2,-1,2530
5731414.760,42,0,3,0x400000000044000,14,0x2,-1,2424
5731414.760,42,0,3,0x400000000044000,18,0x2,-1,1803
5731414.760,42,0,3,0x400000000044000,58,0x2,-1,2410
5807500.864,43,0,3,0x4000102000000,25,0x2,-1,1517
5807500.864,43,0,3,0x4000102000000,32,0x2,-1,2371
5807500.864,43,0,3,0x4000102000000,50,0x2,-1,1671
5892144.968,44,0,1,0x100000000,32,0x2,-1,2005
6105847.488,45,0,1,0x2000000000000,49,0x2,-1,2124
6130115.616,46,0,2,0x20000000100,8,0x2,-1,1945
6130115.616,46,0,2,0x20000000100,41,0x2,-1,1523
6190987.416,47,0,1,0x2000000000,37,0x2,-1,1616
6354055.360,48,0,2,0x40002000000,25,0x2,-1,1798
6354055.360,48,0,2,0x40002000000,42,0x2,-1,2219
6369971.528,49,0,1,0x2000000000,37,0x2,-1,2025
6410187.984,50,0,2,0x10001000000,24,0x2,-1,1605
6410187.984,50,0,2,0x10001000000,40,0x2,-1,1916
6436052.208,51,0,2,0x400010000000000,40,0x2,-1,1650
6436052.208,51,0,2,0x400010000000000,58,0x2,-1,1783
6566962.544,52,0,2,0x41000,12,0x2,-1,2348
6566962.544,52,0,2,0x41000,18,0x2,-1,1750
6996107.776,53,0,4,0x402240000000,30,0x2,-1,2049
6996107.776,53,0,4,0x402240000000,33,0x2,-1,1636
6996107.776,53,0,4,0x402240000000,37,0x2,-1,3493
6996107.776,53,0,4,0x402240000000,46,0x2,-1,1765
7174191.880,54,0,1,0x8000000000000,51,0x2,-1,1600
7245987.960,55,0,2,0x100000800000,23,0x2,-1,1593
7245987.960,55,0,2,0x100000800000,44,0x2,-1,1643
7619322.904,56,0,2,0x2004000000,26,0x2,-1,1809
7619322.904,56,0,2,0x2004000000,37,0x2,-1,2270
7979304.496,57,0,2,0x800000004,2,0x2,-1,1557
7979304.496,57,0,2,0x800000004,35,0x2,-1,1864
7990111.448,58,0,3,0x400080000000010,4,0x2,-1,1828
7990111.448,58,0,3,0x400080000000010,43,0x2,-1,1539
7990111.448,58,0,3,0x400080000000010,58,0x2,-1,2451
8207961.616,59,0,1,0x4000000,26,0x2,-1,1786
8263624.584,60,0,3,0xc001000,12,0x2,-1,3084
8263624.584,60,0,3,0xc001000,26,0x2,-1,1961
8263624.584,60,0,3,0xc001000,27,0x2,-1,2042
8771775.480,61,0,2,0x100000400,10,0x2,-1,1829
8771775.480,61,0,2,0x100000400,32,0x2,-1,1534
8945600.728,63,0,1,0x200000000,33,0x2,-1,1823
9216453.936,64,0,3,0x800040100,8,0x2,-1,2450
9216453.936,64,0,3,0x800040100,18,0x2,-1,1554
9216453.936,64,0,3,0x800040100,35,0x2,-1,2308
9292480.216,65,0,1,0x4000000,26,0x2,-1,2888
9345151.152,66,0,1,0x40000000000,42,0x2,-1,2199
9417519.768,67,0,1,0x100000000,32,0x2,-1,1522
9588953.208,68,0,1,0x20,5,0x2,-1,2452
9646403.344,69,0,2,0x400000400,10,0x2,-1,2798
9646403.344,69,0,2,0x400000400,34,0x2,-1,1676
9653591.640,70,0,1,0x800000000,35,0x2,-1,2010
9729551.152,71,0,2,0x800010000,16,0x2,-1,2842
9729551.152,71,0,2,0x800010000,35,0x2,-1,1780
9782528.768,72,0,1,0x2000000000,37,0x2,-1,1672
9963333.040,73,0,1,0x8000000000000,51,0x2,-1,1731
10003185.880,74,0,1,0x4,2,0x2,-1,1833
10039702.680,75,0,2,0x11000,12,0x2,-1,1847
10039702.680,75,0,2,0x11000,16,0x2,-1,2263
10094655.688,76,0,2,0x200002000000,25,0x2,-1,2070
10094655.688,76,0,2,0x200002000000,45,0x2,-1,1699
10323834.120,77,0,3,0x8000001000008,3,0x2,-1,2309
10323834.120,77,0,3,0x8000001000008,24,0x2,-1,1643
10323834.120,77,0,3,0x8000001000008,51,0x2,-1,1761
10482673.408,78,0,1,0x8000000000000,51,0x2,-1,1812
10715113.016,79,0,3,0x800024000,14,0x2,-1,4073
10715113.016,79,0,3,0x800024000,17,0x2,-1,2991
10715113.016,79,0,3,0x800024000,35,0x2,-1,2551
10914191.904,80,0,2,0x40040000000,30,0x2,-1,2717
10914191.904,80,0,2,0x40040000000,42,0x2,-1,1812
