//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:4096
//Run#:1
//Start_Time_Epoch:1771534828921
//Start_Time_DateTime_UTC:Thu Feb 19 21:00:28 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
28368.064,0,0,4,0x80200010000008,3,0x2,-1,3301
28368.064,0,0,4,0x80200010000008,28,0x2,-1,2051
28368.064,0,0,4,0x80200010000008,45,0x2,-1,3720
28368.064,0,0,4,0x80200010000008,55,0x2,-1,4095
149730.688,1,0,3,0x1800000080000000,31,0x2,-1,4095
149730.688,1,0,3,0x1800000080000000,59,0x2,-1,1963
149730.688,1,0,3,0x1800000080000000,60,0x2,-1,3270
434230.840,2,0,4,0x80000200100400,10,0x2,-1,3177
434230.840,2,0,4,0x80000200100400,20,0x2,-1,4068
434230.840,2,0,4,0x80000200100400,33,0x2,-1,3190
434230.840,2,0,4,0x80000200100400,55,0x2,-1,3559
441233.584,3,0,3,0x80000000200100,8,0x2,-1,3861
441233.584,3,0,3,0x80000000200100,21,0x2,-1,2548
441233.584,3,0,3,0x80000000200100,55,0x2,-1,4095
454332.968,4,0,2,0x8000080000000,31,0x2,-1,3364
454332.968,4,0,2,0x8000080000000,51,0x2,-1,2307
481965.048,5,0,4,0x8200008000004,2,0x2,-1,4095
481965.048,5,0,4,0x8200008000004,27,0x2,-1,2809
481965.048,5,0,4,0x8200008000004,45,0x2,-1,2458
481965.048,5,0,4,0x8200008000004,51,0x2,-1,4095
517421.344,6,0,4,0x1020000400100,8,0x2,-1,3148
517421.344,6,0,4,0x1020000400100,22,0x2,-1,3169
517421.344,6,0,4,0x1020000400100,41,0x2,-1,3609
517421.344,6,0,4,0x1020000400100,48,0x2,-1,2292
564997.064,7,0,4,0x408000024000,14,0x2,-1,4095
564997.064,7,0,4,0x408000024000,17,0x2,-1,3133
564997.064,7,0,4,0x408000024000,39,0x2,-1,3237
564997.064,7,0,4,0x408000024000,46,0x2,-1,2121
610499.248,8,0,4,0x1080008000400,10,0x2,-1,2372
