//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:1
//Start_Time_Epoch:1771614363072
//Start_Time_DateTime_UTC:Fri Feb 20 19:06:03 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
7352.248,0,0,4,0x80004000040400,10,0x2,-1,5182
7352.248,0,0,4,0x80004000040400,18,0x2,-1,5540
7352.248,0,0,4,0x80004000040400,38,0x2,-1,4083
7352.248,0,0,4,0x80004000040400,55,0x2,-1,4480
91035.648,1,0,4,0x2000108000100,8,0x2,-1,4689
91035.648,1,0,4,0x2000108000100,27,0x2,-1,4674
91035.648,1,0,4,0x2000108000100,32,0x2,-1,4278
91035.648,1,0,4,0x2000108000100,49,0x2,-1,3201
243830.928,2,0,4,0x4020040000100,8,0x2,-1,3826
243830.928,2,0,4,0x4020040000100,30,0x2,-1,4958
243830.928,2,0,4,0x4020040000100,41,0x2,-1,4315
243830.928,2,0,4,0x4020040000100,50,0x2,-1,4355
617870.504,3,0,4,0x80004000041000,12,0x2,-1,5934
617870.504,3,0,4,0x80004000041000,18,0x2,-1,4864
617870.504,3,0,4,0x80004000041000,38,0x2,-1,3859
617870.504,3,0,4,0x80004000041000,55,0x2,-1,4709
766354.144,4,0,4,0x802040000008,3,0x2,-1,5117
766354.144,4,0,4,0x802040000008,30,0x2,-1,4393
766354.144,4,0,4,0x802040000008,37,0x2,-1,7382
766354.144,4,0,4,0x802040000008,47,0x2,-1,4111
777191.256,5,0,4,0x1000020020000002,1,0x2,-1,5172
777191.256,5,0,4,0x1000020020000002,29,0x2,-1,4318
777191.256,5,0,4,0x1000020020000002,41,0x2,-1,3769
777191.256,5,0,4,0x1000020020000002,60,0x2,-1,5049
778203.696,6,0,3,0x2000180000000,31,0x2,-1,5247
778203.696,6,0,3,0x2000180000000,32,0x2,-1,5465
778203.696,6,0,3,0x2000180000000,49,0x2,-1,4416
823698.448,7,0,4,0x2002000040020,5,0x2,-1,5300
823698.448,7,0,4,0x2002000040020,18,0x2,-1,5921
823698.448,7,0,4,0x2002000040020,37,0x2,-1,6420
823698.448,7,0,4,0x2002000040020,49,0x2,-1,4421
995411.760,8,0,5,0x440000302000,13,0x2,-1,4605
995411.760,8,0,5,0x440000302000,20,0x2,-1,3898
995411.760,8,0,5,0x440000302000,21,0x2,-1,3493
995411.760,8,0,5,0x440000302000,42,0x2,-1,5171
995411.760,8,0,5,0x440000302000,46,0x2,-1,4137
1072284.792,9,0,4,0x2000420008000,15,0x2,-1,4009
1072284.792,9,0,4,0x2000420008000,29,0x2,-1,4569
1072284.792,9,0,4,0x2000420008000,34,0x2,-1,4230
1072284.792,9,0,4,0x2000420008000,49,0x2,-1,4418
1220075.912,10,0,5,0x200008011008000,15,0x2,-1,3662
1220075.912,10,0,5,0x200008011008000,24,0x2,-1,3119
1220075.912,10,0,5,0x200008011008000,28,0x2,-1,6341
1220075.912,10,0,5,0x200008011008000,39,0x2,-1,3690
1220075.912,10,0,5,0x200008011008000,57,0x2,-1,4276
1273559.592,11,0,4,0x80040010000010,4,0x2,-1,4636
1273559.592,11,0,4,0x80040010000010,28,0x2,-1,5002
1273559.592,11,0,4,0x80040010000010,42,0x2,-1,4245
1273559.592,11,0,4,0x80040010000010,55,0x2,-1,6993
1274523.976,12,0,4,0x40010004000400,10,0x2,-1,4211
1274523.976,12,0,4,0x40010004000400,26,0x2,-1,6572
1274523.976,12,0,4,0x40010004000400,40,0x2,-1,4341
1274523.976,12,0,4,0x40010004000400,54,0x2,-1,4209
1381813.576,13,0,8,0x100000016a000110,4,0x2,-1,7116
1381813.576,13,0,8,0x100000016a000110,8,0x2,-1,3662
1381813.576,13,0,8,0x100000016a000110,25,0x2,-1,4549
1381813.576,13,0,8,0x100000016a000110,27,0x2,-1,3115
1381813.576,13,0,8,0x100000016a000110,29,0x2,-1,4450
1381813.576,13,0,8,0x100000016a000110,30,0x2,-1,5002
1381813.576,13,0,8,0x100000016a000110,32,0x2,-1,3254
1381813.576,13,0,8,0x100000016a000110,60,0x2,-1,5687
1458245.968,14,0,4,0x800000102000100,8,0x2,-1,5791
1458245.968,14,0,4,0x800000102000100,25,0x2,-1,3764
1458245.968,14,0,4,0x800000102000100,32,0x2,-1,3922
1458245.968,14,0,4,0x800000102000100,59,0x2,-1,4504
1577179.960,15,0,5,0x400800040050,4,0x2,-1,3175
1577179.960,15,0,5,0x400800040050,6,0x2,-1,5268
1577179.960,15,0,5,0x400800040050,18,0x2,-1,5049
1577179.960,15,0,5,0x400800040050,35,0x2,-1,4398
1577179.960,15,0,5,0x400800040050,46,0x2,-1,4209
1789928.928,16,0,4,0x801004000080,7,0x2,-1,4283
1789928.928,16,0,4,0x801004000080,26,0x2,-1,4615
1789928.928,16,0,4,0x801004000080,36,0x2,-1,4948
1789928.928,16,0,4,0x801004000080,47,0x2,-1,3693
1880104.392,17,0,5,0x100004000040c000,14,0x2,-1,6253
