//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:1
//Start_Time_Epoch:1771613328650
//Start_Time_DateTime_UTC:Fri Feb 20 18:48:48 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
62865.504,0,0,4,0x80008020004000,14,0x2,-1,5287
62865.504,0,0,4,0x80008020004000,29,0x2,-1,5533
62865.504,0,0,4,0x80008020004000,39,0x2,-1,4391
62865.504,0,0,4,0x80008020004000,55,0x2,-1,7673
170117.288,1,0,2,0x8000080000000,31,0x2,-1,5834
170117.288,1,0,2,0x8000080000000,51,0x2,-1,5288
301050.552,2,0,4,0x200001000040800,11,0x2,-1,5050
301050.552,2,0,4,0x200001000040800,18,0x2,-1,7318
301050.552,2,0,4,0x200001000040800,36,0x2,-1,4680
301050.552,2,0,4,0x200001000040800,57,0x2,-1,5420
312170.856,3,0,5,0xc00004004000010,4,0x2,-1,6600
312170.856,3,0,5,0xc00004004000010,26,0x2,-1,5568
312170.856,3,0,5,0xc00004004000010,38,0x2,-1,5364
312170.856,3,0,5,0xc00004004000010,58,0x2,-1,6198
312170.856,3,0,5,0xc00004004000010,59,0x2,-1,4122
406552.768,4,0,4,0x4002000200004,2,0x2,-1,6325
406552.768,4,0,4,0x4002000200004,21,0x2,-1,4938
406552.768,4,0,4,0x4002000200004,37,0x2,-1,6481
406552.768,4,0,4,0x4002000200004,50,0x2,-1,6031
420404.136,5,0,4,0x80010010000002,1,0x2,-1,5377
420404.136,5,0,4,0x80010010000002,28,0x2,-1,4926
420404.136,5,0,4,0x80010010000002,40,0x2,-1,5329
420404.136,5,0,4,0x80010010000002,55,0x2,-1,7790
496431.968,6,0,4,0x4010001000010,4,0x2,-1,6099
496431.968,6,0,4,0x4010001000010,24,0x2,-1,5426
496431.968,6,0,4,0x4010001000010,40,0x2,-1,5666
496431.968,6,0,4,0x4010001000010,50,0x2,-1,6047
794176.168,7,0,4,0xc040000008000,15,0x2,-1,6362
794176.168,7,0,4,0xc040000008000,42,0x2,-1,7615
794176.168,7,0,4,0xc040000008000,50,0x2,-1,4265
794176.168,7,0,4,0xc040000008000,51,0x2,-1,8191
