//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:4096
//Run#:1
//Start_Time_Epoch:1771529502322
//Start_Time_DateTime_UTC:Thu Feb 19 19:31:42 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
50284.816,0,0,3,0x80040000000004,2,0x2,-1,1764
50284.816,0,0,3,0x80040000000004,42,0x2,-1,1560
50284.816,0,0,3,0x80040000000004,55,0x2,-1,2786
147753.064,1,0,2,0x40200,9,0x2,-1,3910
147753.064,1,0,2,0x40200,18,0x2,-1,4095
210097.032,2,0,2,0x4000000800,11,0x2,-1,2308
210097.032,2,0,2,0x4000000800,38,0x2,-1,2414
232433.896,3,0,2,0x200800000,23,0x2,-1,3555
232433.896,3,0,2,0x200800000,33,0x2,-1,2566
472391.552,4,0,2,0x100000080,7,0x2,-1,2271
472391.552,4,0,2,0x100000080,32,0x2,-1,1623
641725.504,5,0,3,0x800000002000800,11,0x2,-1,2123
641725.504,5,0,3,0x800000002000800,25,0x2,-1,2456
641725.504,5,0,3,0x800000002000800,59,0x2,-1,3059
960989.624,6,0,3,0x80002000000080,7,0x2,-1,1889
960989.624,6,0,3,0x80002000000080,37,0x2,-1,1681
960989.624,6,0,3,0x80002000000080,55,0x2,-1,2751
1143363.152,7,0,3,0x4002000000040,6,0x2,-1,1597
1143363.152,7,0,3,0x4002000000040,37,0x2,-1,2209
1143363.152,7,0,3,0x4002000000040,50,0x2,-1,1887
1244205.072,8,0,4,0x800000200100080,7,0x2,-1,1694
1244205.072,8,0,4,0x800000200100080,20,0x2,-1,2216
1244205.072,8,0,4,0x800000200100080,33,0x2,-1,2025
1244205.072,8,0,4,0x800000200100080,59,0x2,-1,2034
1276429.920,9,0,1,0x100,8,0x2,-1,1734
1400818.088,10,0,3,0x4020000400,10,0x2,-1,1752
1400818.088,10,0,3,0x4020000400,29,0x2,-1,1592
1400818.088,10,0,3,0x4020000400,38,0x2,-1,1983
1420620.888,11,0,3,0x200020000008,3,0x2,-1,2639
1420620.888,11,0,3,0x200020000008,29,0x2,-1,1752
