delta_x,delta_y,counts
-14,-14,14
-13,-14,43
-12,-14,87
-11,-14,116
-10,-14,152
-9,-14,128
-8,-14,176
-7,-14,151
-6,-14,217
-5,-14,201
-4,-14,239
-3,-14,235
-2,-14,285
-1,-14,265
0,-14,304
1,-14,289
2,-14,248
3,-14,246
4,-14,184
5,-14,145
6,-14,150
7,-14,137
8,-14,110
9,-14,118
10,-14,82
11,-14,58
12,-14,51
13,-14,34
14,-14,12
-14,-13,33
-13,-13,91
-12,-13,206
-11,-13,235
-10,-13,278
-9,-13,286
-8,-13,376
-7,-13,388
-6,-13,466
-5,-13,438
-4,-13,497
-3,-13,557
-2,-13,619
-1,-13,654
0,-13,695
1,-13,667
2,-13,572
3,-13,492
4,-13,442
5,-13,429
6,-13,350
7,-13,328
8,-13,216
9,-13,239
10,-13,205
11,-13,150
12,-13,107
13,-13,66
14,-13,38
-14,-12,60
-13,-12,152
-12,-12,343
-11,-12,414
-10,-12,520
-9,-12,468
-8,-12,606
-7,-12,678
-6,-12,841
-5,-12,803
-4,-12,873
-3,-12,969
-2,-12,1042
-1,-12,1190
0,-12,1225
1,-12,1189
2,-12,1082
3,-12,792
4,-12,764
5,-12,710
6,-12,663
7,-12,507
8,-12,479
9,-12,431
10,-12,328
11,-12,251
12,-12,179
13,-12,127
14,-12,56
-14,-11,105
-13,-11,195
-12,-11,438
-11,-11,520
-10,-11,615
-9,-11,574
-8,-11,807
-7,-11,869
-6,-11,996
-5,-11,991
-4,-11,1119
-3,-11,1236
-2,-11,1299
-1,-11,1579
0,-11,1621
1,-11,1491
2,-11,1309
3,-11,1096
4,-11,1055
5,-11,863
6,-11,830
7,-11,669
8,-11,599
9,-11,525
10,-11,459
11,-11,334
12,-11,205
13,-11,159
14,-11,66
-14,-10,99
-13,-10,242
-12,-10,457
-11,-10,566
-10,-10,754
-9,-10,660
-8,-10,933
-7,-10,976
-6,-10,1233
-5,-10,1207
-4,-10,1328
-3,-10,1461
-2,-10,1631
-1,-10,1839
0,-10,1863
1,-10,1908
2,-10,1603
3,-10,1351
4,-10,1113
5,-10,1056
6,-10,979
7,-10,738
8,-10,663
9,-10,575
10,-10,471
11,-10,374
12,-10,302
13,-10,205
14,-10,84
-14,-9,125
-13,-9,296
-12,-9,562
-11,-9,679
-10,-9,916
-9,-9,819
-8,-9,1178
-7,-9,1168
-6,-9,1400
-5,-9,1509
-4,-9,1576
-3,-9,1775
-2,-9,1977
-1,-9,2341
0,-9,2400
1,-9,2254
2,-9,2112
3,-9,1627
4,-9,1424
5,-9,1265
6,-9,1141
7,-9,913
8,-9,801
9,-9,654
10,-9,633
11,-9,432
12,-9,296
13,-9,209
14,-9,105
-14,-8,119
-13,-8,301
-12,-8,589
-11,-8,758
-10,-8,952
-9,-8,993
-8,-8,1211
-7,-8,1305
-6,-8,1661
-5,-8,1656
-4,-8,1765
-3,-8,2156
-2,-8,2316
-1,-8,2657
0,-8,2834
1,-8,2685
2,-8,2361
3,-8,1886
4,-8,1562
5,-8,1443
6,-8,1250
7,-8,1006
8,-8,917
9,-8,749
10,-8,618
11,-8,495
12,-8,333
13,-8,272
14,-8,109
-14,-7,158
-13,-7,326
-12,-7,640
-11,-7,811
-10,-7,1006
-9,-7,994
-8,-7,1319
-7,-7,1416
-6,-7,1773
-5,-7,1875
-4,-7,2202
-3,-7,2551
-2,-7,2899
-1,-7,3258
0,-7,3596
1,-7,3265
2,-7,2849
3,-7,2283
4,-7,1949
5,-7,1644
6,-7,1446
7,-7,1128
8,-7,948
9,-7,792
10,-7,694
11,-7,572
12,-7,370
13,-7,251
14,-7,134
-14,-6,136
-13,-6,300
-12,-6,692
-11,-6,837
-10,-6,1002
-9,-6,969
-8,-6,1378
-7,-6,1454
-6,-6,1934
-5,-6,2142
-4,-6,2585
-3,-6,3136
-2,-6,3751
-1,-6,4271
0,-6,4527
1,-6,4140
2,-6,3587
3,-6,2864
4,-6,2384
5,-6,1880
6,-6,1603
7,-6,1208
8,-6,1022
9,-6,805
10,-6,682
11,-6,587
12,-6,357
13,-6,280
14,-6,93
-14,-5,173
-13,-5,378
-12,-5,777
-11,-5,925
-10,-5,1195
-9,-5,1174
-8,-5,1666
-7,-5,1965
-6,-5,2452
-5,-5,2806
-4,-5,3572
-3,-5,4498
-2,-5,5367
-1,-5,6127
0,-5,6818
1,-5,6012
2,-5,5147
3,-5,3869
4,-5,3199
5,-5,2551
6,-5,2074
7,-5,1534
8,-5,1220
9,-5,1035
10,-5,847
11,-5,669
12,-5,431
13,-5,325
14,-5,148
-14,-4,205
-13,-4,440
-12,-4,787
-11,-4,1034
-10,-4,1346
-9,-4,1361
-8,-4,1824
-7,-4,2208
-6,-4,3022
-5,-4,3623
-4,-4,4826
-3,-4,6201
-2,-4,7924
-1,-4,9646
0,-4,10021
1,-4,9139
2,-4,7575
3,-4,5505
4,-4,4449
5,-4,3339
6,-4,2585
7,-4,1920
8,-4,1432
9,-4,1139
10,-4,913
11,-4,667
12,-4,481
13,-4,349
14,-4,168
-14,-3,201
-13,-3,425
-12,-3,1005
-11,-3,1274
-10,-3,1595
-9,-3,1631
-8,-3,2232
-7,-3,2758
-6,-3,3804
-5,-3,4739
-4,-3,6613
-3,-3,9060
-2,-3,12378
-1,-3,15059
0,-3,15928
1,-3,14141
2,-3,11110
3,-3,8490
4,-3,6339
5,-3,4560
6,-3,3458
7,-3,2354
8,-3,1790
9,-3,1392
10,-3,1083
11,-3,878
12,-3,591
13,-3,364
14,-3,188
-14,-2,218
-13,-2,469
-12,-2,1043
-11,-2,1298
-10,-2,1674
-9,-2,1825
-8,-2,2600
-7,-2,3426
-6,-2,4733
-5,-2,6032
-4,-2,8756
